OBJECTID,SURFTYPE,SURFUSE,SHAPE_Length,SHAPE_Area
246,Asphalt,Parking Lot,362.584067112157,5345.21921167913
247,Asphalt,Parking Lot,27.4437154089651,47.0809099389767
248,Asphalt,Parking Lot,120.597808767096,142.112615313822
249,Asphalt,Parking Lot,295.121029521312,3335.49902056007
250,Asphalt,Parking Lot,61.8730769396584,90.4212605729767
251,Asphalt,Parking Lot,254.740369197329,1120.25980069327
252,Asphalt,Parking Lot,144.848581153474,584.695973923097
253,Asphalt,Parking Lot,133.639668125589,157.017310775253
254,Asphalt,Parking Lot,155.655498005212,943.113893959639
255,Asphalt,Parking Lot,114.234968349969,165.11802006757
256,Asphalt,Parking Lot,191.580952643726,1707.92849445644
257,Asphalt,Parking Lot,111.375041475684,328.147983248876
258,Asphalt,Parking Lot,92.8566441180149,110.400616356819
259,Asphalt,Parking Lot,75.4962469948452,113.508919077145
260,Asphalt,Parking Lot,140.816023565426,202.875066710656
261,Asphalt,Parking Lot,87.4544204888994,314.823596342895
262,Asphalt,Parking Lot,120.279675062021,439.246280463959
263,Asphalt,Parking Lot,60.1056290573333,148.056226286625
264,Asphalt,Parking Lot,319.859218951023,4280.71246121447
265,Concrete,Parking Lot,39.4738298704392,85.7054932061919
266,Asphalt,Parking Lot,871.247926750764,8785.7056120617
267,Asphalt,Parking Lot,367.519204874292,1500.7173262793
268,Asphalt,Parking Lot,338.269633433044,4436.00609670852
269,Asphalt,Parking Lot,44.8202543323892,98.3146136956285
270,Asphalt,Parking Lot,180.548981581299,687.962090446943
271,Asphalt,Parking Lot,1789.3173289552,18103.7597492565
272,Asphalt,Parking Lot,414.861846444022,10516.2696410168
273,Concrete,Parking Lot,31.3216049637853,61.1509568279188
274,Asphalt,Parking Lot,789.267584475006,7805.61772059917
275,Asphalt,Parking Lot,84.1418567916633,232.797726542501
276,Asphalt,Parking Lot,59.2420503713723,140.945522767004
277,Asphalt,Parking Lot,49.9973144356196,47.7671961566334
